"h","","p","r","r","r","r","r","r","r"
"#","Command","Permission","Roles","","","","","",""
"v","","executeCLI","cli-fullcontrol","cli-fringecontrol","cli-pidscontrol","cli-radiocontrol","cli-signalcontrol","cli-traincontrol","cli-viewonly"
"d","All commands","*","x","","","","","",""
"d","Annul Stored Routes","ANL","","","","","x","",""
"d","Alter PIDS Point","APP","","","x","x","","x",""
"d","Automatic Route Setting Disable","ARD","","","","","x","",""
"d","Automatic Route Setting Enable","ARE","","","","","x","",""
"d","Attach Trains","ATT","","","x","x","","x",""
"d","Cancel Routes and Signals","CAN","","","","","x","",""
"d","Change Destination of Service","CDS","","","x","x","","x",""
"d","Change Origin of Service","COS","","","x","x","","x",""
"d","Cancel Queued Route Indication","CQI","","","","","x","",""
"d","Display All Point Numbers","DAP","","","x","x","x","x",""
"d","Display All Signal Numbers","DAS","","","x","x","x","x",""
"d","Display All Track Numbers","DAT","","","x","x","x","x",""
"d","Display Electronic Docking Sheet","DDS","","","x","x","","x","x"
"d","Delay Simulated Train","DLY","","","","","","",""
"d","Display Pretest Queue","DPQ","","","x","x","x","x","x"
"d","End Simulated Train Trip","END","","","","","","",""
"d","Erase Route Locking","ERL","","","","","x","",""
"d","Display Electronic Train Graph","ETG","","","x","x","","x","x"
"d","Display Electronic Train Program","ETP","","","","","x","","x"
"d","Fringe Number Cancel","FNC","","x","","","","",""
"d","Fringe Number Insert","FNI","","x","","","","",""
"d","Fringe Number Exchange","FNX","","x","","","","",""
"d","General Control Cancel","GCC","","","","","x","",""
"d","General Control Given","GCG","","","","","x","",""
"d","Halt Traffic Simulation","HLT","","","","","","",""
"d","Initialise Traffic Simulation","INI","","","","","","",""
"d","Kill Running Train","KIL","","","","","","",""
"d","Line Control Cancel","LCC","","","","","x","",""
"d","Line Control Give","LCG","","","","","x","",""
"d","List Train Positions ","LTP","","","x","x","x","x","x"
"d","Platform Clear Display","PCD","","","x","x","","x",""
"d","Platform Display Message","PDM","","","x","x","","x",""
"d","Pass Automatic Signals at Stop - Allow","PSA","","","","","","",""
"d","Pass Signal at Stop - Brake","PSB","","","","","","",""
"d","Pass Signal at Stop - Cancel","PSC","","","","","","",""
"d","Pass Automatic Signals at Stop - Forbid","PSF","","","","","","",""
"d","Pass Signal at Stop - Ignore","PSI","","","","","","",""
"d","Pass Signal at Stop - Normal Speed","PSN","","","","","","",""
"d","Pass Signal at Stop - Low Speed","PSS","","","","","","",""
"d","Points Normal","PTN","","","","","x","",""
"d","Points Reverse","PTR","","","","","x","",""
"d","Points Sleeve","PTS","","","","","x","",""
"d","Points Unsleeve","PTU","","","","","x","",""
"d","Query Cancel","QCC","","","x","x","x","x","x"
"d","Query Train Position","QTP","","","x","x","x","x","x"
"d","Resume Stopped Train","RES","","","","","","",""
"d","ReQuest Track Layout Picture","RQP","","","x","x","x","x",""
"d","Railway State Viewer - Ground Frame","RSV","","","","","","",""
"d","Railway State Viewer - Level Crossing","RSV","","","","","","",""
"d","Railway State Viewer - Point","RSV","","","","","","",""
"d","Railway State Viewer - Remote Field Station","RSV","","","","","","",""
"d","Railway State Viewer - Route","RSV","","","","","","",""
"d","Railway State Viewer - Signal","RSV","","","","","","",""
"d","Railway State Viewer - Single Line Control","RSV","","","","","","",""
"d","Railway State Viewer - Track","RSV","","","","","","",""
"d","Railway State Viewer - Track Circuit","RSV","","","","","","",""
"d","Run Traffic Simulation","RUN","","","","","","",""
"d","Reverse Simulated Train","RVT","","","","","","",""
"d","Split Service","SAP","","","x","x","","x",""
"d","Signal Disregard Dependency","SDD","","","","","x","",""
"d","Signal Fleeting Operation","SFO","","","","","x","",""
"d","Signal Block","SLB","","","","","x","",""
"d","Signal Low Speed","SLS","","","","","x","",""
"d","Signal Unblock","SLU","","","","","x","",""
"d","Signal Manual Operation","SMO","","","","","x","",""
"d","Signal Restore Dependency","SRD","","","","","x","",""
"d","Set Route","SRO","","","","","x","",""
"d","Signal TD Operation","STD","","","","","x","",""
"d","Step Simulated Train","STE","","","","","","",""
"d","Stop train","STP","","","","","","",""
"d","Trip Amend Today","TAT","","","x","x","","x",""
"d","Track Circuit - Disregard Dependency","TCD","","","","","x","",""
"d","Track Circuit - Restore Dependency","TCR","","","","","x","",""
"d","Trip Cancel Today","TCT","","","x","x","","x",""
"d","Trip Restore Today","TDC","","","x","x","","x",""
"d","Trip Direct to/from FSS","TDF","","","x","x","","x",""
"d","Trip Forms Change","TFC","","","x","x","","x",""
"d","Track Circuit Block","TKB","","","","","x","",""
"d","Track Unblock","TKU","","","","","x","",""
"d","Trip to/from FSS via Loop","TLP","","","x","x","","x",""
"d","Train Number Erase","TNE","","","","","x","",""
"d","Train Number Gone","TNG","","","","","x","",""
"d","Train Number Insert","TNI","","","","","x","",""
"d","Train Number Move","TNM","","","","","x","",""
"d","Train Number Reverse","TNR","","","","","x","",""
"d","Train Number Split","TNS","","","","","x","",""
"d","Trip Note","TNT","","","x","x","","x",""
"d","Train Number Exchange","TNX","","","","","x","",""
"d","Trip Platform Change","TPC","","","x","x","","x",""
"d","Train Performance Factor","TPF","","","","","","",""
"d","Train Stopping Pattern - Timetable","TSP","","","","","","",""
"d","Train Stopping Pattern - Express","TSP","","","","","","",""
"d","Train Stopping Pattern - Stop","TSP","","","","","","",""
"d","Train Stopping Pattern - Dwell","TSP","","","","","","",""
"d","Timetable Trip Today","TTT","","","x","x","","x",""
"d","Trip Variance Change","TVC","","","x","x","","x",""
